productName,universalProductCode,product_code
Talbots $25 Gift Card,07675004376,NUWXKDXAIR
Talbots $50 Gift Card,07675004377,TGTF89RWL2
TJ Maxx White $25 Gift Card,07675004640,LSI4M7ZLHO
TJ Maxx Red $50 Gift Card,07675004641,LLD9723PXG
Aeropostale Traditional Red Gift Card,07675005058,QLKO7O9827
Applebee's Customizable Gift Card,07675005060,DVNHD4SG89
Bass Pro Customizable Gift Card,07675005062,BUWXAOGAST
Bed Bath & Beyond Blue Ribbon Gift Card,07675005064,4YIFS8ARYQ
Champs Sports Gift Card,07675005070,Q69Q543SQR
Claire's Customizable Gift Card,07675005071,1NDIZCD2W5
El Pollo Loco Gift Card,07675005072,5LAZZYD80N
Foot Locker Stripe Gift Card,07675005074,VLLNPHY13Z
Lands' End Gift Card,07675005079,FWWZ1WBNI8
Omaha Steaks Gift Card,07675005082,N8JMTO97FS
Outback Steakhouse Gift Card,07675005083,7VKR34E12R
Pappas Restaurants Gift Card,07675005084,Q197OAAN11
Red Robin Happy Birthday Gift Card,07675005088,BMGTNMX7GZ
Regal Entertainment Group Gift Card,07675005089,A03FTPCIIW
Regis Salon Gift Card,07675005090,KN42LQY9M1
Ruby Tuesday Traditional $25 Gift Card,07675005091,O3AOAXNUDX
TGI Fridays Gift Card,07675005098,2VDX4AG0U6
Home Depot® Welcome Gift Card,07675005101,RSA1D68HVM
Cabela's Mountain Gift Card,07675005114,39WKSA3BJH
Lane Bryant Gift Card,07675005128,YGH9FXULSB
Build A Bear Bucks Gift Card,07675005145,E0SWD5ZKBV
Uno's Customizable Gift Card,07675005146,5UWHSJ3E96
Cold Stone Peanut Buttercup Gift Card,07675005179,BSH654F814
Cracker Barrel $25 Gift Card,07675005183,B6NGXHLD9V
AMC Gift Card,07675005186,84Z7HB587R
Ruby Tuesday Traditional Gift Card,07675005216,GZSUWCDE2R
Cracker Barrel $50 Gift Card,07675005225,502IX2JL4F
Buy Buy BABY Gift Card,07675005246,UAE3A6KBNB
Jack in the Box Blue Sky Jack Ca$h Card,07675005282,XKC77JS9HZ
Justice Gift Card,07675005284,W3J5TU0BWM
Sunglass Hut Silver Gift Card,07675005297,OAHKKDD6J8
Bonefish Grill Black Gift Card,07675005900,J7O2VVT7X6
Carrabba's Gift Card,07675005901,4J5U74JEZF
Jiffy Lube Everyday Gift Card,07675006041,PB1LD9DO8P
Rocky Mountain Chocolate Factory Gift Card,07675006056,NEA4ET5XC3
Raider Image 50th Season Celebration Gift Card,07675006098,JEBU0I2MSK
Starbucks Gift Card,07675006121,8EHS2V3P7G
The Container Store Gift Card,07675006131,AECOA3T6RT
Barnes & Noble Gift Card,07675006146,W0H09H0BGA
Boscov's Multi Stripe Gift Card,07675006225,PWK8HNUFVQ
Legal Sea Foods Customizable Gift Card,07675006261,JGA8EIBCCA
Bass  Pro Shops® eGift,07675006325,W18SKNI0H6
Uno's Chicago Grill eGift,07675006326,JIYF89LUAM
Home Depot® Crate Bow eGift,07675006328,XSM9NPB16M
BJ's Restaurants Gift Card,07675006352,X3ZOUOU0PP
Applebee's  Digital Gift eGift,07675006360,YMBOSSR5FJ
Land's End  Text eGift,07675006364,E750A52YIQ
Sephora eGift,07675006384,GPYJCQLKW7
Build-A-Bear eGift,07675006391,PRA4ZD4PHC
Williams Sonoma eGift,07675006394,D4KV7XV3JU
Pottery Barn e-Gift,07675006395,PPPVBSOVUI
Pottery Barn Kids e-Gift,07675006396,JJMPLPJ0AP
west elm eGift,07675006398,6E8BNFG6BY
Justice eGift Card,07675006482,Y8OWWLZ07J
Claire's Purple Fabulous eGift,07675006508,KQWZXG850G
Sunglass Hut eGift,07675006512,MQWEVTD1RJ
Legal  Sea Foods eGift,07675006537,UIZEFK914O
GameStop Gift Card,07675006748,O8FOYU2DKA
Buca di Beppo Gift Card,07675006802,RSNBJRMGAC
Regal eGift,07675008221,Y2NCZMQBAO
Finish Line Gift Card,07675008224,E2DDB2Y2GR
Aquarium Restaurants Gift Card,07675008274,3U4QHRZ0Y8
Babin's Seafood House Gift Card,07675008275,65CQNJRYIH
Brenner's Steakhouse Gift Card,07675008276,0L07L40ESP
Landry's Multibranded Gift Card,07675008277,0QHEDA4WA0
Golden Nugget Hotel and Casino Gift Card,07675008278,PYNYAAD337
Grotto / La Griglia Gift Card,07675008279,43FP9LOJXV
Kemah Boardwalk Gift Card,07675008280,Q7E3KDJN2G
Landry's Multibranded Gift Card,07675008282,RP1MWSKC1H
Peohe's Gift Card,07675008285,7CLDINVXBE
Rainforest Cafe Gift Card,07675008287,ZY49LRSHCF
Saltgrass Steak House Gift Card,07675008288,7N15HZ70UM
Simm's Steakhouse Gift Card,07675008289,BQLLAF7G20
Vic & Anthony's Steakhouse Gift Card,07675008292,UJ664EESXT
Willie G's Seafood & Steakhouse Gift Card,07675008293,8WDILBOJX0
Brinker eGift,07675008490,AGSBZFT34M
Chili's eGift,07675008491,FP4B687KX9
On the Border Multi Brand eGift,07675008492,4F6KYPAR4M
Maggiano's eGift,07675008494,ZODVZ03GXA
Petsmart Gift Card,07675008516,Y7S3RFCNMY
Fleming's Cork On Fork Gift Card,07675008519,JGDR73160A
The Container Store eGift,07675008547,5YURSKRIAQ
Forever 21  Inc.  Stripe eGift,07675008598,573W0QUGGD
Express $25 Gift Card,07675008631,GXR96UR0PL
Express $50 Gift Card,07675008632,WBN3WOK0VP
Buca di Beppo   LOGO FRAME eGift,07675008658,FDIVTJLOJ4
Boscov's  Bubbles eGift,07675008676,NBVZYI6ZDO
Omaha Steaks  eGift,07675008714,6DJGEFCQO7
Lane Bryant eGift,07675008763,XVUZB8SJC4
Aeropostale  Black eGift,07675008780,K4IB67AOWW
DSW Gift Card,07675008839,KE8Y4P8PT1
DSW eGift,07675008840,0K5KH0OJ4K
GameStop eGift,07675008894,WXA6QG1OVF
Nordstrom Gift Card,07675008902,OGZSXZDVZ7
Lady Foot Locker Carbon Footprint eGift,07675008910,CGPRA3QPYV
Foot Locker It's a Sneaker Thing eGift,07675008911,YKS3WHQBMN
Kids Foot Locker $25 eGift,07675008912,8U3HQCYYVE
Champs Sports  Running  eGift,07675008913,HH5XGVJLES
Kohl's Gift Card,07675008929,FGDAIOPGSR
Sephora Gift Card,07675008930,N1O2818CP7
California Pizza Kitchen Gift Card,07675009632,E8DC1KFOB5
Saltgrass Steakhouse eGift,07675009642,MWBUHWF88Z
Chart House eGift,07675009643,Q0OXONOKT9
Golden Nugget eGift,07675009644,MY66LMNJNI
Landry's Multibranded  eGift,07675009645,LFPUGAYGJA
Rainforest Cafe eGift,07675009648,J0KWE23HRJ
Lucille's Smokehouse Bar-B-Q Gift Card,07675009719,E2IJ9Y0RZL
Lucille's Smokehouse Bar-B-Q eGift,07675009720,HCRSUT8CJH
SUBWAY®  GIFT CARD,07675009821,Y50OAOZXTZ
SUBWAY® VEGGIE SKETCH GIFT CARD,07675009822,QNSEHHMQYI
Lowe's Gift Card,07675009902,2VL8UKQCZ1
Lowe's eGift,07675009903,10F4OO34LV
Dave & Buster's®  eGift,07675009995,78SFMR0GV8
O'Charley's eGift,07675010057,4KXG0R5TJA
Ninety Nine Restaurants eGift,07675010058,
The Cheesecake Factory eGift,07675010065,9GLEIR7YID
O'Charley's Gift Card,07675010132,G059L5R6C1
Ninety Nine Standard Gift Card,07675010133,
Texas Roadhouse Customizable Gift Card,07675010200,P6BIN0WTQ9
Texas Roadhouse Ribbon eGift,07675010201,QK627DJ0XH
Babin's Seafood House eGift,07675010209,4UD9AB8HKW
Brenner's Steak House eGift,07675010210,4F8GFER4QS
Grotto / La Griglia eGift,07675010211,I3X6JIP7M6
Simm's Steakhouse eGift,07675010213,TYJC32PU6K
Willie G's Seafood & Steakhouse eGift,07675010214,5L98T9ANBM
PF Changs eGift,07675010244,SWCC5RDK6O
Cold Stone eGift,07675010245,031Q5E9AVJ
Peohe's eGift,07675010254,SV8OS8L77P
American Eagle Outfitters Gift Card,07675010296,N6QN0A0PJI
American Eagle Outfitters  eGift,07675010298,BEFCA0T95J
BJ's Restaurant & Brewhouse,07675010343,MIVXVPJBRZ
Roosters Standard $25 Gift Card,07675010347,OV4FQINNMQ
rue21 $25 Gift Card,07675010351,8JF831H7OI
rue21 $50 Gift Card,07675010352,CFE71ROJLM
Steak 'n Shake Pole Sign Gift Card,07675010362,QP43EK6APK
Jr's  Last Laugh Gift Card,07675010368,04FMN1RG0D
Staples  MMH eGift,07675010388,FVQ8M9Q7P3
Belk eGift,07675010403,07WT1TTX8C
Staples Easy Button Gift Card,07675010404,NS7MOLY1KO
Buona Gift Card,07675010506,GIO5FBXG73
California Pizza Kitchen  eGift,07675010508,7RZ9LNS7G9
Buckhead / Rocky's Gift Card,07675010562,CVJLC6MOW1
Southwest Airlines eGift,07675010565,KRLQI00YFY
Brann's $25 Gift Card,07675010566,DL8Z1MITNU
Branns Sizzling Steaks & Sports Grill $25 eGift,07675010567,5WRKFIJNDN
Joe's Crab Shack Gift Card,07675010633,OD5HQNKO0Y
Joe's Crab Shack eGift,07675010634,9T9HM10NEJ
Glory Days Grill/ FANFARE Eatery Gift,07675010670,EMD5RVNY85
Boston Market Gift Card,07675010719,7NPLJG0EZT
Boston Market eGift,07675010720,ZTFOBDL1QM
Glory Days Grill eGift,07675010723,WS8J3K1PZM
Bubba Gump Shrimp Co. Gift Card,07675010873,UFU9WAELRR
Jr's Last Laugh eGift,07675010928,UY7IGMPLFI
Ghirardelli Chocolate Company Caramel Pour Gift Card,07675010930,H606X2Q9MG
Ghirardelli Chocolate Company eGift,07675010931,RUZNH8T3Y3
Belk Gift Card,07675011045,K6L7W9UH9Z
Curtis Lumber A Gift For You Gift Card,07675011046,EZMNAQRUK2
Curtis Lumber  Balloons eGift,07675011047,PLXFVVMCAL
McCormick & Schmick's eGift,07675011174,XN202P8KIG
Aquarium eGift,07675011262,5UVGQBJIYS
Vic & Anthony’s Steakhouse eGift,07675011263,5MEDXOZ9SY
Kemah eGift,07675011264,WBTKIK8GJK
Petco Gift Card,07675011279,I2KQSZ1LZI
Petco eGift,07675011287,05MPUCQRKN
Steak 'N Shake eGift,07675011291,9S82XE0LY9
Jason's Deli Gift Card $25,07675011309,PBIHUBT0GJ
Grand Concourse Gift Card,07675011322,BG7Z44Q3P6
Grand Concourse eGift,07675011323,ZHSWCVY1K6
Izzy's Gift Card,07675011326,5E5ABYVNZQ
Izzy's eGift,07675011327,MX8H4G51RO
Panda Express Gift Card,07675011355,88XO1S0SYB
Groupon Gift Card,07675011360,RLMULDS3F8
Groupon eGift,07675011361,3CJKFA0DCW
Smashburger Gift Card,07675011398,MH1BJDDDKI
Skyline Chili Gift Card,07675011399,S0SQ6ISX1B
Morton's Gift Card,07675011404,D5PVK8WIG3
Morton's eGift,07675011405,4S7IB7X9XO
CiCi's Holiday Gift Card,07675011427,R4N7TRVZY0
Guitar Center eGift,07675011436,34GYTOLDT2
Saint Louis Originals eGift,07675011437,NWEUASYFZO
Saint Louis Originals Gift Card,07675011438,KL5S4PLRHN
Guitar Center Gift Card,07675011439,GFCK50YKWX
Jeff Ruby Culinary Entertainment Gift Card,07675011440,1ELX8FL12D
Red Robin  Burger eGift,07675011441,IH022EB2OZ
Bubba Gump Shrimp Co. eGift,07675011442,XRBRFTA50U
AutoZone eGift,07675011443,U4S5QYCEM0
AutoZone Gift Card,07675011444,QG3B9TRFQL
McCormick & Schmick's Gift Card,07675011447,M6UM8YAY4F
Domino's Gift Card,07675011448,93ZPI9KBM0
Domino's  Standard eGift,07675011449,QTXAYOFQ3N
Finish Line eGift,07675011451,5CF3HVERY5
Buffalo Wild Wings  eGift,07675011510,73960H0NGM
Buffalo Wild Wings Thank You Gift Card,07675011511,F8W5G9POJ3
rue21 $25 eGift,07675011534,7AYT4S4E0K
rue21 $50 eGift,07675011535,CHMUHGB5GE
The Counter Gift Card,07675011572,9ZWIFW45WQ
The Chateau Restaurant Gift Card,07675011587,ET6Y7IAE79
The Chateau eGift,07675011588,CXQ8D7HF36
Salvatore's Old Fashioned Pizzeria Gift Card,07675011662,Q5ZMPMMISR
Salvatore's Old Fashioned Pizzeria eGift,07675011663,GE1FTEQURL
Forever 21 Gift Card,07675011668,OO7PXU4JSC
H&M eGift,07675011710,KYOHCLZVJL
Gap  eGift,07675012038,K9R1LALS02
Gap Options  eGift,07675012039,EO4D78JQ4D
Banana Republic  eGift,07675012040,OT5YUOFOMD
Old Navy eGift,07675012041,7LHLN0WRU3
Baby Gap eGift,07675012042,GO1SM3RJLP
la Madeleine Gift Card,07675012048,4UF747XTU7
la Madeleine Country French Café eGift,07675012051,M66SUCPL2O
Captain D's Gift Card,07675012111,RVZ3LNZ81M
Children's Museum of Pittsburgh Gift Card,07675012261,XCPZ68GVZC
Children's Museum of Pittsburgh eGift,07675012262,A7SAKMY4ZD
Shane's Rib Shack Gift Card,07675012393,Y5O3VRV3WG
Under Armour Gift Card,07675012404,XGRQP3J0DX
Under Armour eGift,07675012405,2IP83X3CR9
Express  eGift,07675012438,PA8T9HHFQN
Guess Gift Card,07675012459,4PPDBWII0O
Guess eGift,07675012460,Y689XATI5I
Zappos.com eGift,07675012510,51SELV0HYU
Chipotle Gift Card $25,07675012541,M9YEA0QQCF
AMC Popcorn eGift,07675012542,K2JCOBQ808
Quaker Steak & Lube Atomic eGift,07675012596,QWPFMKPOZB
