"Offer ID","Created On","Offer Name","Categories","Cities","Merchant Name","Type","UPCs","IIDs","Price","Sales","Qty Sold","Qty Avl","Status"
"4944","2017-05-19 00:00:00","Pastini Pastaria eGift","Housewarming;
$20 Gift Cards;
Restaurants;
$50 Gift Cards;
Friend;
Graduation;
$15 Gift Cards;
Congratulations;
$25 Gift Cards;
Christmas;
$100 Gift Cards;
Thank You;
eGift Cards","Bakers Plus","Pastini Pastaria","Gift Card Offer","07675014867","69618","Variable (5-250);
Fixed
25;50;75;100;200","835","19","Unlimited","LIVE"
"4943","2017-05-19 00:00:00","Al's Beef Gift Cards","Easter;
$50 Gift Cards;
Thank You;
Graduation;
$15 Gift Cards;
Congratulations;
$25 Gift Cards;
Friend;
$100 Gift Cards;
$10 Gift Cards;
Housewarming;
$20 Gift Cards;
Christmas;
Restaurants","Bakers Plus","Al's Beef","Physical Gift Card Offer","07675016640","75998","Variable (5-500);
Fixed
25;50;75;100;200","63","3","Unlimited","LIVE"
"4942","2017-05-19 00:00:00","Babbo Italian Eatery eGift","Occasions;
Father's Day;
Congratulations;
$50 Gift Cards;
Thank You;
Christmas;
Valentine's Day;
Graduation;
$15 Gift Cards;
Couples;
Birthday;
Retirement;
$25 Gift Cards;
Friend;
Restaurants;
Mother's Day;
Easter;
$100 Gift Cards;
$10 Gift Cards;
Husband;
Anniversary;
Housewarming;
$20 Gift Cards;
Wife;
eGift Cards","Bakers Plus","Babbo Italian Eatery","Gift Card Offer","07675014812","69536","Variable (5-250);
Fixed
25;50;75;100;200","1225","35","Unlimited","LIVE"
"4942","2017-05-19 00:00:00","Babbo Italian Eatery eGift","Occasions;
Father's Day;
Congratulations;
$50 Gift Cards;
Thank You;
Christmas;
Valentine's Day;
Graduation;
$15 Gift Cards;
Couples;
Birthday;
Retirement;
$25 Gift Cards;
Friend;
Restaurants;
Mother's Day;
Easter;
$100 Gift Cards;
$10 Gift Cards;
Husband;
Anniversary;
Housewarming;
$20 Gift Cards;
Wife;
eGift Cards","Bakers Plus","Babbo Italian Eatery","Gift Card Offer","07675014812","69536","Variable (5-250);
Fixed
25;50;75;100;200","1225","35","Unlimited","LIVE"
"4940","2017-05-19 00:00:00","Petco Gift Card","$50 Gift Cards;
Wife;
Black Friday;
At Home;
$15 Gift Cards;
Husband;
Women;
$25 Gift Cards;
Sister;
$100 Gift Cards;
$10 Gift Cards;
Thanksgiving;
Men;
Online Shopping;
$20 Gift Cards;
Brother;
Shopping;
Pet","Bakers Plus","Petco","Physical Gift Card Offer","07675011279","62961","Variable (10-500);
Fixed
25;50;75;100;200","7641","153","Unlimited","LIVE"
"4939","2017-05-19 00:00:00","The Chateau Gift Cards","$25 Gift Cards;
Couples;
Occasions;
Physical Gift Cards;
Easter;
$100 Gift Cards;
Friend;
Christmas;
Anniversary;
Housewarming;
$20 Gift Cards;
Teacher;
Mother's Day;
Specialty;
Congratulations;
$50 Gift Cards;
Wife;
Birthday;
Graduation;
Thank You;
Husband;
Father's Day;
Retirement;
Restaurants","Bakers Plus","The Chateau","Physical Gift Card Offer","07675011587","63572","Variable (20-500);
Fixed
25;50;75;100;200","128.60","3","Unlimited","LIVE"
"4939","2017-05-19 00:00:00","The Chateau Gift Cards","$25 Gift Cards;
Couples;
Occasions;
Physical Gift Cards;
Easter;
$100 Gift Cards;
Friend;
Christmas;
Anniversary;
Housewarming;
$20 Gift Cards;
Teacher;
Mother's Day;
Specialty;
Congratulations;
$50 Gift Cards;
Wife;
Birthday;
Graduation;
Thank You;
Husband;
Father's Day;
Retirement;
Restaurants","Bakers Plus","The Chateau","Physical Gift Card Offer","07675011587","63572","Variable (20-500);
Fixed
25;50;75;100;200","128.60","3","Unlimited","LIVE"
"4938","2017-05-19 00:00:00","Buona Gift Card","Housewarming;
Thank You;
Physical Gift Cards;
Back to School;
$50 Gift Cards;
Christmas;
Graduation;
Friend;
Congratulations;
$25 Gift Cards;
Restaurants;
Easter;
$100 Gift Cards;
Teacher;
Specialty","Bakers Plus","BUONA","Physical Gift Card Offer","07675010506","61134","Variable (25-500);
Fixed
25;50;75;100;200","574.95","15","Unlimited","LIVE"
"4937","2017-05-19 00:00:00","Petco eGift","Online Shopping;
$20 Gift Cards;
Husband;
Women;
$50 Gift Cards;
Sister;
At Home;
$15 Gift Cards;
Thanksgiving;
Men;
$25 Gift Cards;
Brother;
Shopping;
$100 Gift Cards;
Wife;
Black Friday;
eGift Cards;
Pet","Bakers Plus","Petco","Gift Card Offer","07675011287","62968","Variable (15-200);
Fixed
25;50;75;100;200","67423.38","1089","Unlimited","LIVE"
"4934","2017-05-19 00:00:00","Beans & Brews Coffee House eGift","Teacher;
Father's Day;
Congratulations;
$25 Gift Cards;
Sister;
Women;
Easter;
$100 Gift Cards;
Friend;
Husband;
Thank You;
Housewarming;
$20 Gift Cards;
Brother;
Mother's Day;
eGift Cards;
Back to School;
$50 Gift Cards;
Wife;
Christmas;
Men;
Graduation;
$15 Gift Cards;
Restaurants","Bakers Plus","Beans & Brews Coffee House","Gift Card Offer","07675016380","71688","Variable (5-250);
Fixed
25;50;75;100;200","770","44","Unlimited","LIVE"
